epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2838.88,0.91583,0.84672,1.21949,0.7555,0.79222,0.8251,0.62366,0.86561,0.70075,1.2752,0.000615781,0.000615781,0.000615781
43,2906.52,0.92334,0.82672,1.22168,0.742,0.72286,0.78509,0.59748,0.87027,0.74171,1.27974,0.000600313,0.000600313,0.000600313
44,2973.86,0.91512,0.80849,1.21232,0.74025,0.73094,0.804,0.61496,0.85504,0.74357,1.26892,0.000584844,0.000584844,0.000584844
45,3041.26,0.92581,0.83017,1.21677,0.75757,0.78082,0.82692,0.63086,0.86353,0.72832,1.27392,0.000569375,0.000569375,0.000569375
46,3108.99,0.8968,0.81016,1.20337,0.76989,0.76117,0.81871,0.62825,0.8447,0.74985,1.26015,0.000553906,0.000553906,0.000553906
47,3176.31,0.90688,0.83488,1.20713,0.75992,0.77894,0.84703,0.64754,0.84547,0.68091,1.25783,0.000538438,0.000538438,0.000538438
48,3244.13,0.88519,0.79097,1.2037,0.72761,0.74967,0.81382,0.62034,0.85198,0.76916,1.26301,0.000522969,0.000522969,0.000522969
49,3311.1,0.89332,0.7999,1.20003,0.74918,0.79681,0.83085,0.627,0.87327,0.70832,1.28141,0.0005075,0.0005075,0.0005075
50,3378.2,0.8906,0.79422,1.19119,0.7278,0.79788,0.83283,0.63176,0.84959,0.69392,1.2681,0.000492031,0.000492031,0.000492031
51,3445.17,0.88163,0.78791,1.19256,0.78167,0.7913,0.84945,0.65316,0.839,0.67683,1.25052,0.000476562,0.000476562,0.000476562
52,3512.64,0.88273,0.79706,1.19938,0.78577,0.77746,0.82848,0.63382,0.86149,0.7108,1.27874,0.000461094,0.000461094,0.000461094
53,3579.76,0.87007,0.77977,1.18865,0.77263,0.77883,0.83752,0.64268,0.84324,0.67429,1.25641,0.000445625,0.000445625,0.000445625
54,3646.87,0.87826,0.77455,1.19378,0.77121,0.77117,0.85043,0.64696,0.86817,0.68025,1.26701,0.000430156,0.000430156,0.000430156
55,3713.83,0.86594,0.77732,1.18334,0.79511,0.75975,0.8381,0.64376,0.8392,0.69413,1.25782,0.000414688,0.000414688,0.000414688
56,3780.89,0.86215,0.75188,1.18627,0.80935,0.78697,0.85717,0.65923,0.84486,0.65962,1.25086,0.000399219,0.000399219,0.000399219
57,3848.19,0.85682,0.73877,1.18491,0.80143,0.81475,0.86148,0.66326,0.8477,0.65638,1.26284,0.00038375,0.00038375,0.00038375
58,3916.1,0.85599,0.73453,1.17757,0.78745,0.76194,0.83551,0.64469,0.85538,0.66531,1.26519,0.000368281,0.000368281,0.000368281
59,3983.16,0.84969,0.7497,1.17937,0.82026,0.75905,0.8404,0.65345,0.83874,0.65748,1.24909,0.000352812,0.000352812,0.000352812
60,4050.26,0.8489,0.73649,1.17681,0.77218,0.80159,0.85366,0.65611,0.84127,0.66095,1.25255,0.000337344,0.000337344,0.000337344
61,4117.32,0.84318,0.70791,1.16694,0.77935,0.78962,0.8444,0.65062,0.84315,0.674,1.26656,0.000321875,0.000321875,0.000321875
62,4184.32,0.85166,0.72852,1.17496,0.79806,0.78434,0.8542,0.65809,0.8409,0.64708,1.25775,0.000306406,0.000306406,0.000306406
63,4251.25,0.85245,0.72121,1.17896,0.7654,0.81921,0.86374,0.66538,0.84153,0.63686,1.25317,0.000290937,0.000290937,0.000290937
64,4318.71,0.84112,0.71073,1.17034,0.73112,0.84725,0.86007,0.66242,0.8406,0.62856,1.26141,0.000275469,0.000275469,0.000275469
65,4385.61,0.83658,0.71907,1.16805,0.77525,0.81082,0.85941,0.66261,0.8438,0.63766,1.25604,0.00026,0.00026,0.00026
66,4452.56,0.82911,0.6983,1.16214,0.80655,0.79518,0.86678,0.6689,0.84077,0.62325,1.25232,0.000244531,0.000244531,0.000244531
67,4520.02,0.82551,0.69319,1.15711,0.80752,0.80921,0.86742,0.66897,0.83999,0.62241,1.24947,0.000229063,0.000229063,0.000229063
68,4587.64,0.8309,0.69568,1.16433,0.82976,0.77821,0.87068,0.67216,0.83124,0.63231,1.23847,0.000213594,0.000213594,0.000213594
69,4655.29,0.8167,0.6677,1.15933,0.80585,0.79235,0.86578,0.67341,0.82922,0.62395,1.24483,0.000198125,0.000198125,0.000198125
70,4723.23,0.81687,0.68677,1.1611,0.82121,0.80969,0.8758,0.6748,0.83814,0.60359,1.25087,0.000182656,0.000182656,0.000182656
71,4792.38,0.75368,0.57893,1.15726,0.7604,0.84953,0.85825,0.6618,0.83991,0.63002,1.25269,0.000167188,0.000167188,0.000167188
72,4860.23,0.73924,0.54883,1.15792,0.79236,0.80319,0.8681,0.67377,0.84063,0.61957,1.24905,0.000151719,0.000151719,0.000151719
73,4928.09,0.7379,0.527,1.14965,0.83755,0.7664,0.86471,0.66987,0.8336,0.62072,1.2476,0.00013625,0.00013625,0.00013625
74,4995.47,0.72862,0.53159,1.14477,0.80335,0.82305,0.87138,0.67723,0.83059,0.60901,1.24118,0.000120781,0.000120781,0.000120781
75,5063.54,0.71853,0.51367,1.13894,0.80428,0.82697,0.87546,0.68015,0.83186,0.6092,1.24797,0.000105312,0.000105312,0.000105312
76,5131.45,0.71521,0.49752,1.13346,0.77874,0.83793,0.87418,0.68034,0.83819,0.62056,1.25461,8.98437e-05,8.98437e-05,8.98437e-05
77,5199.24,0.70737,0.49384,1.1371,0.78698,0.83704,0.88163,0.68499,0.8308,0.61147,1.24672,7.4375e-05,7.4375e-05,7.4375e-05
78,5267.04,0.70284,0.49098,1.12856,0.83705,0.79994,0.88159,0.68131,0.83396,0.61439,1.25242,5.89062e-05,5.89062e-05,5.89062e-05
79,5334.36,0.70737,0.48269,1.13566,0.79692,0.84233,0.88462,0.68905,0.82969,0.60224,1.24613,4.34375e-05,4.34375e-05,4.34375e-05
80,5402.22,0.69406,0.47693,1.12574,0.81654,0.83386,0.88506,0.6885,0.83185,0.60034,1.24614,2.79687e-05,2.79687e-05,2.79687e-05
